,main_style,beer_style,main_style_full_count,sub_style_full_count
0,Brown Ales,American Brown Ale,416,158
1,Pale Ales,American Amber / Red Ale,2120,395
2,Stouts,Russian Imperial Stout,786,192
3,Porters,Black & Tan,448,13
4,Specialty Beers,Scottish Gruit / Ancient Herbed Ale,684,15
5,Specialty Beers,Fruit / Vegetable Beer,684,242
6,Strong Ales,American Barleywine,947,122
7,Pale Ales,English Bitter,2120,104
8,Specialty Beers,Fruit / Vegetable Beer,684,242
9,Strong Ales,Belgian Strong Dark Ale,947,144
10,Strong Ales,Quadrupel (Quad),947,51
11,Pale Ales,Belgian Pale Ale,2120,167
12,Strong Ales,Belgian Strong Dark Ale,947,144
13,Dark Ales,Dubbel,390,88
14,Strong Ales,Belgian Strong Dark Ale,947,144
15,India Pale Ales,Belgian IPA,914,61
16,Strong Ales,Belgian Strong Dark Ale,947,144
17,Brown Ales,American Brown Ale,416,158
18,India Pale Ales,American IPA,914,475
19,Pale Ales,American Pale Ale (APA),2120,543
20,Porters,American Porter,448,305
21,Porters,American Porter,448,305
22,Wheat Beers,Witbier,685,207
23,Pilseners and Pale Lagers,American Double / Imperial Pilsner,1228,41
24,Pale Ales,English Pale Ale,2120,185
25,Strong Ales,Belgian Strong Dark Ale,947,144
26,Bocks,Weizenbock,339,53
27,Strong Ales,American Barleywine,947,122
28,India Pale Ales,American IPA,914,475
29,Pale Ales,American Amber / Red Ale,2120,395
30,Specialty Beers,Fruit / Vegetable Beer,684,242
31,India Pale Ales,American Double / Imperial IPA,914,297
32,Strong Ales,American Barleywine,947,122
33,India Pale Ales,American Double / Imperial IPA,914,297
34,Stouts,Russian Imperial Stout,786,192
35,Stouts,Russian Imperial Stout,786,192
36,India Pale Ales,American Double / Imperial IPA,914,297
37,Pale Ales,American Amber / Red Ale,2120,395
38,Wheat Beers,American Pale Wheat Ale,685,162
39,India Pale Ales,American IPA,914,475
40,Dark Ales,Winter Warmer,390,120
41,Pale Ales,American Blonde Ale,2120,174
42,India Pale Ales,American Double / Imperial IPA,914,297
43,India Pale Ales,American Double / Imperial IPA,914,297
44,Pilseners and Pale Lagers,Czech Pilsener,1228,114
45,Wheat Beers,Hefeweizen,685,206
46,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
47,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
48,India Pale Ales,American IPA,914,475
49,Pilseners and Pale Lagers,Munich Helles Lager,1228,79
50,Dark Ales,Belgian Dark Ale,390,43
51,India Pale Ales,American Double / Imperial IPA,914,297
52,India Pale Ales,American Double / Imperial IPA,914,297
53,Pilseners and Pale Lagers,Czech Pilsener,1228,114
54,India Pale Ales,American Double / Imperial IPA,914,297
55,India Pale Ales,English India Pale Ale (IPA),914,81
56,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
57,Strong Ales,Belgian Strong Pale Ale,947,147
58,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
59,Bocks,Bock,339,84
60,Pale Ales,American Amber / Red Ale,2120,395
61,Pilseners and Pale Lagers,German Pilsener,1228,200
62,Dark Lagers,American Amber / Red Lager,476,62
63,Bocks,Bock,339,84
64,Porters,English Porter,448,60
65,Wheat Beers,American Pale Wheat Ale,685,162
66,Strong Ales,Belgian Strong Pale Ale,947,147
67,Strong Ales,Belgian Strong Dark Ale,947,144
68,Dark Lagers,Vienna Lager,476,50
69,Brown Ales,American Brown Ale,416,158
70,India Pale Ales,American IPA,914,475
71,Strong Ales,American Strong Ale,947,115
72,Dark Ales,Winter Warmer,390,120
73,Wild/Sour Beers,Flanders Red Ale,202,29
74,Dark Ales,Winter Warmer,390,120
75,Wild/Sour Beers,Flanders Red Ale,202,29
76,India Pale Ales,American IPA,914,475
77,Dark Ales,Winter Warmer,390,120
78,Pale Ales,Saison / Farmhouse Ale,2120,249
79,Brown Ales,American Brown Ale,416,158
80,Pilseners and Pale Lagers,Czech Pilsener,1228,114
81,Wheat Beers,Witbier,685,207
82,India Pale Ales,American IPA,914,475
83,India Pale Ales,American IPA,914,475
84,Strong Ales,Belgian Strong Dark Ale,947,144
85,Pale Ales,American Pale Ale (APA),2120,543
86,Stouts,American Double / Imperial Stout,786,207
87,Pale Ales,American Pale Ale (APA),2120,543
88,Pilseners and Pale Lagers,American Pale Lager,1228,108
89,Strong Ales,American Strong Ale,947,115
90,India Pale Ales,American Double / Imperial IPA,914,297
91,India Pale Ales,American Double / Imperial IPA,914,297
92,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
93,Strong Ales,Belgian Strong Dark Ale,947,144
94,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
95,Strong Ales,English Barleywine,947,62
96,Hybrid Beers,Bière de Garde,133,54
97,Hybrid Beers,Bière de Garde,133,54
98,Brown Ales,Altbier,416,79
99,Pale Ales,English Bitter,2120,104
100,Stouts,American Double / Imperial Stout,786,207
101,Strong Ales,American Strong Ale,947,115
102,Strong Ales,American Barleywine,947,122
103,Bocks,Maibock / Helles Bock,339,62
104,Pale Ales,American Pale Ale (APA),2120,543
105,Wheat Beers,American Pale Wheat Ale,685,162
106,Pale Ales,Kölsch,2120,89
107,Pilseners and Pale Lagers,Dortmunder / Export Lager,1228,45
108,Pilseners and Pale Lagers,American Adjunct Lager,1228,253
109,India Pale Ales,Belgian IPA,914,61
110,India Pale Ales,Belgian IPA,914,61
111,India Pale Ales,American Double / Imperial IPA,914,297
112,Strong Ales,Belgian Strong Dark Ale,947,144
113,Pale Ales,Kölsch,2120,89
114,India Pale Ales,American IPA,914,475
115,India Pale Ales,English India Pale Ale (IPA),914,81
116,India Pale Ales,American IPA,914,475
117,Wheat Beers,American Pale Wheat Ale,685,162
118,Pale Ales,English Pale Ale,2120,185
119,Dark Ales,Scottish Ale,390,62
120,India Pale Ales,American Double / Imperial IPA,914,297
121,Pale Ales,American Pale Ale (APA),2120,543
122,India Pale Ales,American Double / Imperial IPA,914,297
123,Pale Ales,American Amber / Red Ale,2120,395
124,Pale Ales,English Pale Ale,2120,185
125,India Pale Ales,American IPA,914,475
126,Dark Ales,American Black Ale,390,70
