,beer_name
0,"""400"" Ale | Williamsburg AleWerks | Brown Ales"
1,"""Hop Obama"" Ale | Sixpoint Brewery | Pale Ales"
2,"""Old Yeltsin"" Imperial Stout | Hoptown Brewing Company | Stouts"
3,"""Shabadoo"" Black & Tan Ale | Berkshire Brewing Company Inc. | Porters"
4,"""The Wind Cried Mari..."" Scottish Heather Ale | Cambridge Brewing Company | Specialty Beers"
5,"""True Blue"" Blueberry Ale | Bar Harbor Brewing Company | Specialty Beers"
6,# 100 | Nøgne Ø - Det Kompromissløse Bryggeri A/S | Strong Ales
7,#'s Ale | Red Brick Brewing Company | Pale Ales
8,#9 | Magic Hat Brewing Company | Specialty Beers
9,'t Gaverhopke Extra | Brouwerij 't Gaverhopke | Strong Ales
10,'t Smisje BBBourgondier | Brouwerij Smisje | Strong Ales
11,'t Smisje Blond | Brouwerij Smisje | Pale Ales
12,'t Smisje Calva Reserva | Brouwerij Smisje | Strong Ales
13,'t Smisje Dubbel | Brouwerij Smisje | Dark Ales
14,'t Smisje Grande Reserva | Brouwerij Smisje | Strong Ales
15,'t Smisje IPA+ | Brouwerij Smisje | India Pale Ales
16,'t Smisje Kerst | Brouwerij Smisje | Strong Ales
17,(512) Bruin | (512) Brewing Company | Brown Ales
18,(512) IPA | (512) Brewing Company | India Pale Ales
19,(512) Pale | (512) Brewing Company | Pale Ales
20,(512) Pecan Porter | (512) Brewing Company | Porters
21,(512) Whiskey Barrel Aged Double Pecan Porter | (512) Brewing Company | Porters
22,(512) Wit | (512) Brewing Company | Wheat Beers
23,.357 Imperial Pilsner | Flossmoor Station Restaurant & Brewery | Pilseners and Pale Lagers
24,1 A.M. Ale | Emmett's Brewing Company | Pale Ales
25,10 Commandments | The Lost Abbey | Strong Ales
26,10 Degrees Below | Scuttlebutt Brewing Company | Bocks
27,10 Squared Fish Tale Ale | Fish Brewing Company / Fishbowl Brewpub | Strong Ales
28,10.0 | Mikkeller ApS | India Pale Ales
29,100 Meter Ale | Eugene City Brewery | Pale Ales
30,100% Barrel Fermented Autumn Maple | The Bruery | Specialty Beers
31,1000 IBU | Mikkeller ApS | India Pale Ales
32,10th Anniversary Ale | Climax Brewing Company | Strong Ales
33,"10th Anniversary Double India Pale Ale | Middle Ages Brewing Co., Ltd. | India Pale Ales"
34,110K+OT Batch #2 - I.R.I.S. | Cigar City Brewing | Stouts
35,110K+OT Batch #2 - I.R.I.S. - Barrel Aged | Cigar City Brewing | Stouts
36,110K+OT Batch #3 - The Other West Coast IPA | Cigar City Brewing | India Pale Ales
37,110K+OT Batch #4 - Imperial Red Ale | Cigar City Brewing | Pale Ales
38,"11th Anniversary Double Wheat | Middle Ages Brewing Co., Ltd. | Wheat Beers"
39,11th Hour IPA | Crow Peak Brewing | India Pale Ales
40,12 Dogs Of Christmas Ale | Thirsty Dog Brewing Company | Dark Ales
