beer_name,main_style
"""400"" Ale",Brown Ales
"""Hop Obama"" Ale",Pale Ales
"""Old Yeltsin"" Imperial Stout",Stouts
"""Shabadoo"" Black & Tan Ale",Porters
"""The Wind Cried Mari..."" Scottish Heather Ale",Specialty Beers
"""True Blue"" Blueberry Ale",Specialty Beers
# 100,Strong Ales
#'s Ale,Pale Ales
#9,Specialty Beers
't Gaverhopke Extra,Strong Ales
't Smisje BBBourgondier,Strong Ales
't Smisje Blond,Pale Ales
't Smisje Calva Reserva,Strong Ales
't Smisje Dubbel,Dark Ales
't Smisje Grande Reserva,Strong Ales
't Smisje IPA+,India Pale Ales
't Smisje Kerst,Strong Ales
(512) Bruin,Brown Ales
(512) IPA,India Pale Ales
(512) Pale,Pale Ales
(512) Pecan Porter,Porters
(512) Whiskey Barrel Aged Double Pecan Porter,Porters
(512) Wit,Wheat Beers
.357 Imperial Pilsner,Pilseners and Pale Lagers
1 A.M. Ale,Pale Ales
10 Commandments,Strong Ales
10 Degrees Below,Bocks
10 Squared Fish Tale Ale,Strong Ales
10.0,India Pale Ales
100 Meter Ale,Pale Ales
100% Barrel Fermented Autumn Maple,Specialty Beers
1000 IBU,India Pale Ales
10th Anniversary Ale,Strong Ales
10th Anniversary Double India Pale Ale,India Pale Ales
110K+OT Batch #2 - I.R.I.S.,Stouts
110K+OT Batch #2 - I.R.I.S. - Barrel Aged,Stouts
110K+OT Batch #3 - The Other West Coast IPA,India Pale Ales
110K+OT Batch #4 - Imperial Red Ale,Pale Ales
11th Anniversary Double Wheat,Wheat Beers
11th Hour IPA,India Pale Ales
12 Dogs Of Christmas Ale,Dark Ales
12 Horse Ale,Pale Ales
120 Minute IPA,India Pale Ales
12th Anniversary Undercover Investigation Shut-Down Ale,India Pale Ales
12th Street Pilsner (15th Anniversary),Pilseners and Pale Lagers
13 (Thirteen) Degrees,Wheat Beers
13 Rebels ESB,Pale Ales
14'ER ESB,Pale Ales
1492 IPA,India Pale Ales
1516 Bavarian Lager,Pilseners and Pale Lagers
1554 Enlightened Black Ale,Dark Ales
15th Anniversary Wood Aged,India Pale Ales
16th Anniversary Wood Aged,India Pale Ales
1795 Original Czech Lager,Pilseners and Pale Lagers
17th Anniversary Wood Aged Double IPA,India Pale Ales
1800 Old English IPA,India Pale Ales
1811 Pre-Prohibition Lager,Pilseners and Pale Lagers
1837.0,Strong Ales
1855 Celebration Lager,Pilseners and Pale Lagers
1888 Bock,Bocks
1892 Traditional Ale,Pale Ales
18th Anniversary Pilsner,Pilseners and Pale Lagers
1900 Amber Lager,Dark Lagers
1906 Reserva Especial,Bocks
1914 Porter,Porters
1919 - Choc Beer,Wheat Beers
19th Anniversary Belgian Style Golden Ale,Strong Ales
2 Turtle Doves,Strong Ales
2-6-0,Dark Lagers
"20"" Brown",Brown Ales
200 Meter Ale,India Pale Ales
2006 Double Bastard Ale Aged In Brandy Barrels,Strong Ales
2007 Christmas Ale,Dark Ales
2007 Vintage Oak Aged Ale (Barrel No. 230),Wild/Sour Beers
2008 Christmas Ale,Dark Ales
2008 Vintage Oak Aged Ale (Barrel No. 96),Wild/Sour Beers
2009 Correction Ale,India Pale Ales
2010 Christmas Ale,Dark Ales
2011 Belgian Independence Day Saison,Pale Ales
2012 Black Ale,Brown Ales
20th Anniversary Pilsner,Pilseners and Pale Lagers
20th Anniversary Wit,Wheat Beers
21 IPA,India Pale Ales
21st Amendment IPA,India Pale Ales
21st Anniversary Belgian Strong Ale Aged With Old Vine Zin Grapes,Strong Ales
21st Anniversary Fresh Hop Pale Ale,Pale Ales
22nd Anniversary Vanilla Imperial Stout,Stouts
24th Street Pale Ale,Pale Ales
25th Anniversary Hopped Lager,Pilseners and Pale Lagers
25th Anniversary Vanilla Doubledog,Strong Ales
2XIPA,India Pale Ales
2nd Anniversary Double IPA,India Pale Ales
2° Below Winter Ale,Pale Ales
3 French Hens,Strong Ales
3 Horses Holland Lager Beer,Pilseners and Pale Lagers
3 Judges Barleywine,Strong Ales
3 Monts,Hybrid Beers
3 Monts Grande Réserve Spécial Ale,Hybrid Beers
3 Ravens Blond,Brown Ales
3 Ravens Bronze,Pale Ales
30th Anniversary - Fritz And Ken's Ale,Stouts
30th Anniversary - Grand Cru,Strong Ales
30th Anniversary - Jack & Ken's Ale,Strong Ales
"30th Anniversary- Charlie, Fred And Ken's Bock",Bocks
30th Street Pale Ale,Pale Ales
312 Urban Wheat,Wheat Beers
32/50,Pale Ales
33 Export,Pilseners and Pale Lagers
333 Premium Export Beer,Pilseners and Pale Lagers
3767 - Belgian IPA With Brett,India Pale Ales
3rd Anniversary Ale,India Pale Ales
3rd Anniversary Double IPA,India Pale Ales
4 Calling Birds,Strong Ales
4 Pines Kolsch,Pale Ales
4 Seasons IPA,India Pale Ales
400 Pound Monkey,India Pale Ales
420 India Pale Ale,India Pale Ales
422 Pale Wheat Ale,Wheat Beers
46'er Pale Ale,Pale Ales
471 ESB,Dark Ales
471 IPA,India Pale Ales
483 Pale Ale,Pale Ales
4th Anniversary Double IPA,India Pale Ales
5 A.M. Saint,Pale Ales
5 Barrel Pale Ale,Pale Ales
5 Day IPA,India Pale Ales
5 Years Later,Dark Ales
5th Anniversary,India Pale Ales
5th Anniversary Ale,Pale Ales
60 Minute IPA,India Pale Ales
60 Shilling Ale,Dark Ales
60 Winks,Pilseners and Pale Lagers
606 Ale,India Pale Ales
6288 Stout,Stouts
668 The Neighbor Of The Beast,Strong Ales
6X,Pale Ales
71 Pale Ale,Pale Ales
75 Minute IPA,India Pale Ales
77 Lager,Pilseners and Pale Lagers
8 Ball Stout,Stouts
8-4-1 Expedition,Strong Ales
80/- (Eighty Shilling),Dark Ales
84/09 Double Alt (25th Anniversary Beer),Brown Ales
840 India Pale Ale,India Pale Ales
8th Street Ale,Pale Ales
90 Minute IPA,India Pale Ales
? The Riddler ?,Dark Ales
A Little Sumpin' Extra! Ale,India Pale Ales
A Little Sumpin' Sumpin' Ale,Wheat Beers
A Little Sumpin' Wild,India Pale Ales
A Saison Darkly (Import Series Vol. #2),Pale Ales
A-10 Warthog Double IPA,India Pale Ales
A.K. Damm,Pilseners and Pale Lagers
ACME California Brown Ale,Brown Ales
ACME California IPA,India Pale Ales
ACME California Pale Ale,Pale Ales
ALTerior Motive,Brown Ales
AXL Pale Ale,Pale Ales
Aardmonnik - Earthmonk,Wild/Sour Beers
Aass Bock,Bocks
Aass Genuine Pilsner,Pilseners and Pale Lagers
Aass Juleøl,Dark Lagers
Abandon Ship Smoked Lager,Dark Lagers
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Pale Ales
Abbaye De Floreffe Blonde,Pale Ales
Abbaye De Floreffe Double,Dark Ales
